ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11073774,JA414111,9/1/17 1:01,031XX E 79TH ST,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,FALSE,FALSE,421,4,7,46,3,1198486,1853188,2017,9/8/17 15:48,41.75197455,-87.54820268,"(41.751974553, -87.548202682)"
11073826,JA414189,9/1/17 4:00,011XX W ARGYLE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,FALSE,TRUE,2033,20,48,3,08B,1167773,1933570,2017,9/8/17 15:48,41.97326348,-87.65843572,"(41.973263481, -87.658435722)"
11072488,JA412449,8/30/17 18:23,0000X W 79TH ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,CTA GARAGE / OTHER PROPERTY,TRUE,FALSE,623,6,6,44,08B,1177483,1852629,2017,9/9/17 15:45,41.75094076,-87.62518522,"(41.750940757, -87.625185222)"
11078114,JA419709,8/26/17 13:26,005XX S PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA STATION,TRUE,FALSE,1132,11,24,26,11,1149812,1897228,2017,9/8/17 15:47,41.87390705,-87.72543009,"(41.873907046, -87.725430093)"
11074358,JA414770,9/1/17 13:45,011XX W BERWYN AVE,330,ROBBERY,AGGRAVATED,CTA TRAIN,FALSE,FALSE,2023,20,48,77,3,1167718,1935356,2017,9/8/17 15:48,41.97816551,-87.65858624,"(41.978165506, -87.658586238)"
11074415,JA414670,9/1/17 12:00,053XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,CTA BUS STOP,FALSE,FALSE,2515,25,31,19,6,1140570,1915445,2017,9/8/17 15:48,41.92407126,-87.75891494,"(41.924071259, -87.758914941)"
11074443,JA414916,9/1/17 14:53,079XX S LAFAYETTE AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,CTA BUS STOP,TRUE,FALSE,623,6,17,44,18,1177312,1852555,2017,9/8/17 15:48,41.75074155,-87.62581408,"(41.750741553, -87.625814076)"
11074745,JA415415,9/1/17 22:40,0000X E ROOSEVELT RD,560,ASSAULT,SIMPLE,CTA STATION,FALSE,FALSE,123,1,2,32,08A,1176818,1895074,2017,9/8/17 15:48,41.86742869,-87.62634257,"(41.867428687, -87.626342565)"
11074790,JA415418,9/1/17 22:51,002XX W GARFIELD BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA STATION,TRUE,FALSE,935,9,3,37,11,1175647,1868500,2017,9/8/17 15:48,41.79453381,-87.63143854,"(41.794533814, -87.631438536)"
11075149,JA415910,9/2/17 11:20,001XX W 35TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,TRUE,FALSE,915,9,11,34,14,1175739,1881773,2017,9/9/17 15:47,41.83095408,-87.63070323,"(41.830954079, -87.630703226)"
11075253,JA416014,9/2/17 12:53,011XX W 87TH ST,2020,NARCOTICS,POSS: AMPHETAMINES,CTA BUS STOP,TRUE,FALSE,2222,22,21,71,18,1170422,1847114,2017,9/9/17 15:47,41.73596341,-87.65122033,"(41.735963409, -87.651220326)"
11075304,JA416126,9/2/17 14:20,0000X W 79TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,TRUE,FALSE,623,6,6,44,26,1177483,1852629,2017,9/9/17 15:47,41.75094076,-87.62518522,"(41.750940757, -87.625185222)"
11075326,JA416155,9/2/17 15:08,001XX W 35TH ST,560,ASSAULT,SIMPLE,CTA TRAIN,TRUE,FALSE,915,9,11,34,08A,1175739,1881773,2017,9/9/17 15:47,41.83095408,-87.63070323,"(41.830954079, -87.630703226)"
11075387,JA416329,9/2/17 17:40,003XX S DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,113,1,2,32,6,1175986,1898794,2017,9/9/17 15:47,41.87765536,-87.62928492,"(41.87765536, -87.629284917)"
11075404,JA416342,9/2/17 17:40,022XX N CALIFORNIA AVE,820,THEFT,$500 AND UNDER,CTA TRAIN,FALSE,FALSE,1431,14,1,22,6,1157335,1914823,2017,9/9/17 15:47,41.92203975,-87.69733018,"(41.922039747, -87.697330182)"
11075407,JA416336,9/1/17 21:00,008XX N FRANKLIN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CTA PLATFORM,FALSE,FALSE,1823,18,27,8,11,1174184,1905751,2017,9/8/17 15:48,41.89678615,-87.63569365,"(41.896786148, -87.635693654)"
11075411,JA416313,9/2/17 13:00,008XX N CICERO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CTA BUS,FALSE,FALSE,1531,15,37,25,11,1144207,1904963,2017,9/9/17 15:47,41.8952399,-87.74581479,"(41.895239896, -87.745814792)"
11075500,JA416222,9/1/17 19:45,001XX N STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,111,1,42,32,6,1176330,1901649,2017,9/8/17 15:48,41.88548189,-87.62793569,"(41.885481891, -87.627935689)"
11075645,JA416568,9/2/17 12:30,049XX N MILWAUKEE AVE,820,THEFT,$500 AND UNDER,CTA GARAGE / OTHER PROPERTY,FALSE,FALSE,1623,16,45,11,6,1139431,1932207,2017,9/9/17 15:47,41.97008868,-87.76269009,"(41.97008868, -87.762690091)"
11075648,JA416603,9/2/17 22:15,001XX W LAKE ST,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,TRUE,FALSE,122,1,42,32,26,1175301,1901735,2017,9/9/17 15:47,41.88574103,-87.63171175,"(41.885741029, -87.631711749)"
11075661,JA416661,9/2/17 22:30,047XX W LAKE ST,560,ASSAULT,SIMPLE,CTA STATION,FALSE,FALSE,1113,11,28,25,08A,1144646,1901790,2017,9/9/17 15:47,41.88652456,-87.74428244,"(41.886524557, -87.744282439)"
11076090,JA416210,9/2/17 16:00,015XX N DAMEN AVE,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1424,14,1,24,6,1162779,1910555,2017,9/9/17 15:47,41.91021553,-87.67744731,"(41.910215525, -87.677447307)"
11076182,JA417424,9/2/17 12:00,001XX W LAKE ST,870,THEFT,POCKET-PICKING,CTA STATION,FALSE,FALSE,122,1,42,32,6,1175401,1901736,2017,9/9/17 15:47,41.88574153,-87.6313445,"(41.885741529, -87.631344503)"
