ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11061226,JA399221,8/20/17 11:30,0000X S CLINTON ST,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,121,1,42,28,6,1172734,1900186,2017,8/27/17 15:48,41.88154768,-87.64118409,"(41.88154768, -87.641184088)"
11061233,JA399117,8/20/17 13:30,021XX S STATE ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,131,1,3,33,04B,1176653,1890031,2017,8/27/17 15:48,41.85359409,-87.62710059,"(41.853594088, -87.627100587)"
11061241,JA399277,8/20/17 6:00,039XX W LE MOYNE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2535,25,30,23,7,1149973,1909687,2017,8/27/17 15:48,41.90809273,-87.7245144,"(41.908092726, -87.724514403)"
11061245,JA399299,8/20/17 16:00,054XX W WASHINGTON BLVD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1522,15,28,25,6,1140095,1900218,2017,8/27/17 15:48,41.8822953,-87.76103357,"(41.8822953, -87.761033571)"
11061256,JA399198,8/20/17 13:50,037XX W MONTROSE AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,1723,17,39,16,04B,1150683,1928983,2017,8/27/17 15:48,41.96102869,-87.72140026,"(41.961028693, -87.721400261)"
11061262,JA399217,8/20/17 15:20,049XX W NORTH AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2533,25,37,25,04B,1143068,1910180,2017,8/27/17 15:48,41.90957726,-87.74986778,"(41.909577258, -87.749867783)"
11061264,JA399328,8/20/17 17:30,055XX S ASHLAND AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,715,7,15,67,08B,1166617,1867978,2017,8/27/17 15:48,41.79329893,-87.66456619,"(41.79329893, -87.66456619)"
11061281,JA399298,8/20/17 16:51,051XX W NORTH AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,2533,25,37,25,04B,1141999,1910154,2017,8/27/17 15:48,41.9095258,-87.75379553,"(41.909525798, -87.753795526)"
11061310,JA399280,8/20/17 16:30,087XX S LAFLIN ST,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,2221,22,21,71,08A,1167859,1846804,2017,8/27/17 15:48,41.73516808,-87.66061912,"(41.735168083, -87.660619115)"
11061314,JA399374,8/20/17 18:00,027XX S DEARBORN ST,460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,133,1,3,35,08B,1176315,1886573,2017,8/27/17 15:48,41.84411271,-87.62844534,"(41.844112707, -87.628445336)"
